2.931210518,0
3.030085804,0.5
3.099243028,1
3.1618422,1.5
3.216188122,2
3.26070702,2.5
3.298690031,3
3.332806669,3.5
3.364051313,4
3.392909045,4.5
3.419663427,5
3.444579438,5.5
3.467810927,6
3.489579343,6.5
3.510113153,7
3.529466676,7.5
3.547724467,8
3.565010348,8.5
3.581451513,9
3.597071597,9.5
3.611893307,10
3.626049745,10.5
3.639588503,11
3.652521254,11.5
3.664872142,12
3.676702567,12.5
3.688093634,13
3.698975093,13.5
3.709353536,14
3.719289836,14.5
3.728771247,15
3.73767467,15.5
3.745837642,16
3.753145601,16.5
3.759318985,17
3.764211294,17.5
3.767947628,18
3.770853316,18.5
3.773172145,19
3.775110344,19.5
3.77682865,20
3.778452151,20.5
3.779980487,21
3.781446604,21.5
3.782904661,22
3.78438536,22.5
3.785874159,23
3.787342274,23.5
3.788860177,24
3.790433707,24.5
3.792007106,25
3.793601848,25.5
3.795303598,26
3.797047276,26.5
3.79884352,27
3.800688358,27.5
3.802639064,28
3.804699314,28.5
3.806827104,29
3.809017617,29.5
3.811366518,30
3.813817495,30.5
3.816369509,31
3.818988833,31.5
3.821798568,32
3.824684764,32.5
3.827609932,33
3.830631966,33.5
3.833740032,34
3.836888138,34.5
3.840036884,35
3.84319875,35.5
3.846410785,36
3.849596238,36.5
3.852718449,37
3.855844096,37.5
3.859010095,38
3.862126359,38.5
3.865260901,39
3.86850055,39.5
3.871743046,40
3.874961858,40.5
3.878153317,41
3.881307056,41.5
3.88436043,42
3.887311045,42.5
3.89017852,43
3.893014286,43.5
3.895860645,44
3.898698706,44.5
3.901568476,45
3.904539527,45.5
3.907570663,46
3.910618517,46.5
3.913620875,47
3.916609713,47.5
3.919442259,48
3.922086226,48.5
3.924517025,49
3.926800187,49.5
3.928933985,50
3.931372424,50.5
3.933881354,51
3.936392222,51.5
3.938921153,52
3.941417849,52.5
3.943948026,53
3.946441613,53.5
3.948855264,54
3.951227474,54.5
3.953571315,55
3.955830015,55.5
3.958012642,56
3.960128569,56.5
3.962214005,57
3.964241685,57.5
3.966203852,58
3.968106181,58.5
3.970001721,59
3.971851233,59.5
3.973664348,60
3.975513067,60.5
3.977354697,61
3.979226351,61.5
3.981092679,62
3.983013899,62.5
3.984929174,63
3.98676932,63.5
3.988507012,64
3.990194564,64.5
3.991794878,65
3.993300284,65.5
3.994690279,66
3.995974394,66.5
3.997235946,67
3.998441893,67.5
3.999612317,68
4.000695682,68.5
4.001785573,69
4.00285896,69.5
4.003887748,70
4.004867094,70.5
4.005896486,71
4.006861102,71.5
4.00782717,72
4.008752774,72.5
4.009698066,73
4.010657345,73.5
4.011568441,74
4.012452944,74.5
4.013372611,75
4.014301314,75.5
4.015189342,76
4.016036476,76.5
4.01697648,77
4.017873659,77.5
4.018754807,78
4.01965491,78.5
4.020574294,79
4.0214877,79.5
4.022383939,80
4.023291,80.5
4.024230679,81
4.025161141,81.5
4.026068966,82
4.027026565,82.5
4.028006414,83
4.028979421,83.5
4.029938145,84
4.030920609,84.5
4.031962874,85
4.032990592,85.5
4.034023218,86
4.035065623,86.5
4.036192464,87
4.037317365,87.5
4.038440924,88
4.039599788,88.5
4.040791851,89
4.042010483,89.5
4.043239931,90
4.044497504,90.5
4.045753408,91
4.047118098,91.5
4.048542165,92
4.049994866,92.5
4.051510271,93
4.053085005,93.5
4.054747363,94
4.056493661,94.5
4.058339346,95
4.060291905,95.5
4.062383766,96
4.064636748,96.5
4.067060023,97
4.069760213,97.5
4.072804005,98
4.076355281,98.5
4.080658658,99
4.086114804,99.5
4.09631443,100